Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NZ_CP022913	NZ_CP022913.1	Escherichia coli O6:H16 strain 2011EL-1370-2 plasmid unnamed1, complete sequence	unnamed1	Escherichia coli O6:H16	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Apr-2011	USA: New York	Stool	NA	63392	0.478199	IncFIB(AP001918)|IncFII(pHN7A8)	NA	158	NA
NZ_CP022914	NZ_CP022914.1	Escherichia coli O6:H16 strain 2011EL-1370-2 plasmid unnamed2, complete sequence	unnamed2	Escherichia coli O6:H16	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Apr-2011	USA: New York	Stool	NA	117021	0.468668	IncFII(pCoo)	NA	157	NA
NZ_CP022931	NZ_CP022931.1	Enterococcus durans strain BDGP3 plasmid pEdBDGP3A, complete sequence	pEdBDGP3A	Enterococcus durans	Enterococcus durans	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA:94710	NA	NA	5594	0.32946	NA	NA	307	NA
NZ_CP022984	NZ_CP022984.1	Bacillus kochii strain BDGP4 plasmid pBkBDGP4A, complete sequence	pBkBDGP4A	Bacillus kochii	Bacillus kochii	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA: 94710	NA	NA	137143	0.340076	NA	MOBC|MOBC	NA	NA
NZ_CP022991	NZ_CP022991.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN1, complete sequence	pBN1	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	664981	0.612702	NA	NA	NA	NA
NZ_CP022992	NZ_CP022992.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN2, complete sequence	pBN2	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	489416	0.599639	NA	MOBH	NA	NA
NZ_CP022993	NZ_CP022993.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN3, complete sequence	pBN3	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	162757	0.597258	NA	NA	NA	NA
NZ_CP022994	NZ_CP022994.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN4, complete sequence	pBN4	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	152437	0.615087	NA	MOBP|MOBP	NA	NA
NZ_CP022995	NZ_CP022995.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN5, complete sequence	pBN5	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	39532	0.589548	NA	NA	NA	NA
NZ_CP022996	NZ_CP022996.1	Paraburkholderia aromaticivorans strain BN5 plasmid pBN6, complete sequence	pBN6	Paraburkholderia aromaticivorans	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	2017-01-17	37.8407 N 127.0151 E	soil	NA	27494	0.597403	NA	NA	NA	NA
NZ_CP022999	NZ_CP022999.1	Rhizobium sp. 11515TR plasmid p10195A, complete sequence	p10195A	Rhizobium sp. 11515TR	Rhizobium sp. 11515TR	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Mar-2008	14.1667 N 121.217 E	agricultural soil	NA	1569179	0.592087	NA	NA	NA	NA
NZ_CP023000	NZ_CP023000.1	Rhizobium sp. 11515TR plasmid p10195B, complete sequence	p10195B	Rhizobium sp. 11515TR	Rhizobium sp. 11515TR	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Mar-2008	14.1667 N 121.217 E	agricultural soil	NA	1497349	0.587952	NA	NA	NA	NA
NZ_CP023002	NZ_CP023002.1	Bacillus anthracis strain 14RA5914 plasmid pX01, complete sequence	pX01	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	16-Apr-2014	Germany: Dobichau	spleen	NA	198129	0.325631	NA	MOBC	13	NA
NZ_CP023003	NZ_CP023003.1	Bacillus anthracis strain 14RA5914 plasmid pX02, complete sequence	pX02	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	16-Apr-2014	Germany: Dobichau	spleen	NA	103124	0.32714	rep3	NA	46	NA
NZ_CP023006	NZ_CP023006.1	Pediococcus pentosaceus strain SS1-3 plasmid pSS1302, complete sequence	pSS1302	Pediococcus pentosaceus	Pediococcus pentosaceus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2017-03-16	South Korea: Bundang	Korean adult feces	NA	39282	0.34176	NA	NA	NA	NA
NZ_CP023007	NZ_CP023007.1	Pediococcus pentosaceus strain SS1-3 plasmid pSS1301, complete sequence	pSS1301	Pediococcus pentosaceus	Pediococcus pentosaceus	Pediococcus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2017-03-16	South Korea: Bundang	Korean adult feces	NA	53170	0.389073	NA	MOBQ	NA	NA
NZ_CP023045	NZ_CP023045.1	Mannheimia haemolytica strain 191 plasmid pL.24464.X.191, complete sequence	pL.24464.X.191	Mannheimia haemolytica	Mannheimia haemolytica	Mannheimia	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	25-Aug-2010	USA:Nebraska	bodily fluid	NA	3295	0.42519	NA	NA	531	NC_006828_position:4777-5082
NZ_CP023051	NZ_CP023051.1	Listeria monocytogenes strain FDA00011238 plasmid pCFSAN059932, complete sequence	pCFSAN059932	Listeria monocytogenes	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2017-01-10	USA:KY	Environmental swabs	NA	61922	0.361003	NA	NA	239	NA
NZ_CP023053	NZ_CP023053.1	Listeria monocytogenes strain FDA00006905 plasmid pCFSAN021143, complete sequence	pCFSAN021143	Listeria monocytogenes	Listeria monocytogenes	Listeria	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2011-11-15	USA: KY	swab	NA	61919	0.360988	NA	NA	239	NA
NZ_CP023056	NZ_CP023056.1	Vibrio anguillarum strain VIB43 plasmid p15, complete sequence	p15	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	United Kingdom: Scotland	NA	NA	15178	0.44525	NA	NA	NA	NA
NZ_CP023064	NZ_CP023064.1	Sinorhizobium sp. CCBAU 05631 plasmid pSS05631b, complete sequence	pSS05631b	Sinorhizobium sp. CCBAU 05631	Sinorhizobium sp. CCBAU 05631	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2008	China: Hejian	NA	NA	1501701	0.628884	NA	NA	NA	NA
NZ_CP023065	NZ_CP023065.1	Sinorhizobium sp. CCBAU 05631 plasmid pSS05631a, complete sequence	pSS05631a	Sinorhizobium sp. CCBAU 05631	Sinorhizobium sp. CCBAU 05631	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2008	China: Hejian	NA	NA	742373	0.593393	NA	MOBQ	NA	NA
NZ_CP023066	NZ_CP023066.1	Sinorhizobium sp. CCBAU 05631 plasmid pSS05631d, complete sequence	pSS05631d	Sinorhizobium sp. CCBAU 05631	Sinorhizobium sp. CCBAU 05631	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2008	China: Hejian	NA	NA	124845	0.597781	NA	MOBQ	NA	NA
NZ_CP023068	NZ_CP023068.1	Ensifer sojae CCBAU 05684 plasmid pSJ05684b, complete sequence	pSJ05684b	Ensifer sojae CCBAU 05684	Ensifer sojae	Ensifer	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2008	China: Huanghua	NA	NA	2011513	0.618952	NA	NA	NA	NA
NZ_CP023069	NZ_CP023069.1	Ensifer sojae CCBAU 05684 plasmid pSJ05684a, complete sequence	pSJ05684a	Ensifer sojae CCBAU 05684	Ensifer sojae	Ensifer	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2008	China: Huanghua	NA	NA	410255	0.590204	NA	NA	350	NA
NZ_CP023071	NZ_CP023071.1	Sinorhizobium fredii CCBAU 83666 plasmid pSF83666b, complete sequence	pSF83666b	Sinorhizobium fredii CCBAU 83666	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2005	China: Northern Xinjiang	NA	NA	2277056	0.620244	NA	MOBV	NA	NA
NZ_CP023072	NZ_CP023072.1	Sinorhizobium fredii CCBAU 83666 plasmid pSF83666a, complete sequence	pSF83666a	Sinorhizobium fredii CCBAU 83666	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2005	China: Northern Xinjiang	NA	NA	742947	0.588833	NA	MOBQ	NA	NA
NZ_CP023073	NZ_CP023073.1	Sinorhizobium fredii CCBAU 83666 plasmid pSF83666d, complete sequence	pSF83666d	Sinorhizobium fredii CCBAU 83666	Sinorhizobium fredii	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Jul-2005	China: Northern Xinjiang	NA	NA	76753	0.580121	NA	NA	NA	NA
NZ_CP023143	NZ_CP023143.1	Escherichia coli strain CFSAN061770 plasmid pEGY1-MCR-1, complete sequence	pEGY1-MCR-1	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Egypt	Raw milk cheese	NA	228947	0.460888	IncHI2|IncHI2A	MOBH	100	NA
NZ_CP023144	NZ_CP023144.1	Escherichia coli strain CFSAN061770 plasmid pEGY2, complete sequence	pEGY2	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Egypt	Raw milk cheese	NA	103234	0.531937	NA	MOBP|MOBP	NA	NA
NZ_CP023145	NZ_CP023145.1	Escherichia coli strain CFSAN061770 plasmid pEGY3, complete sequence	pEGY3	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Egypt	Raw milk cheese	NA	87173	0.509665	IncFIA|IncFIB(AP001918)	MOBF	547	NA
NZ_CP023148	NZ_CP023148.1	Mycobacterium marseillense strain FLAC0026 plasmid pFLAC0026, complete sequence	pFLAC0026	Mycobacterium marseillense	Mycobacterium marseillense	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	2013	USA	NA	NA	19605	0.643407	NA	NA	NA	NA
NZ_CP023150	NZ_CP023150.1	Mycobacterium intracellulare strain FLAC0181 plasmid pFLAC0181, complete sequence	pFLAC0181	Mycobacterium intracellulare	Mycobacterium intracellulare	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	2014	USA	NA	NA	24702	0.653226	NA	NA	NA	NA
NZ_CP023152	NZ_CP023152.1	Mycobacterium chimaera strain FLAC0070 plasmid pFLAC0070_1, complete sequence	pFLAC0070_1	Mycobacterium chimaera	Mycobacterium chimaera	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	2014	USA	NA	NA	247522	0.650791	NA	NA	NA	NA
NZ_CP023153	NZ_CP023153.1	Mycobacterium chimaera strain FLAC0070 plasmid pFLAC0070_2, complete sequence	pFLAC0070_2	Mycobacterium chimaera	Mycobacterium chimaera	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	2014	USA	NA	NA	95687	0.659473	NA	NA	333	NA
NZ_CP023156	NZ_CP023156.1	Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed1, complete sequence	unnamed1	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	1981	Argentina	NA	NA	92558	0.629249	NA	MOBF	NA	NA
NZ_CP023157	NZ_CP023157.1	Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed2, complete sequence	unnamed2	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	1981	Argentina	NA	NA	22827	0.600736	NA	NA	NA	NA
NZ_CP023158	NZ_CP023158.1	Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed3, complete sequence	unnamed3	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	1981	Argentina	NA	NA	26406	0.621185	NA	NA	NA	NA
NZ_CP023160	NZ_CP023160.1	Xanthomonas citri pv. malvacearum strain MS14003 plasmid unnamed1, complete sequence	unnamed1	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	32.95 N 90.51 W	agricultural field	NA	52393	0.626572	NA	NA	NA	NA
NZ_CP023161	NZ_CP023161.1	Xanthomonas citri pv. malvacearum strain MS14003 plasmid unnamed2, complete sequence	unnamed2	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	32.95 N 90.51 W	agricultural field	NA	47414	0.618277	NA	MOBF	NA	NA
NZ_CP023162	NZ_CP023162.1	Xanthomonas citri pv. malvacearum strain MS14003 plasmid unnamed3, complete sequence	unnamed3	Xanthomonas citri pv. malvacearum	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	32.95 N 90.51 W	agricultural field	NA	15282	0.630022	NA	MOBQ	NA	NA
NZ_CP023167	NZ_CP023167.1	Salmonella enterica subsp. enterica serovar Saintpaul strain SGB23 plasmid pSGB23, complete sequence	pSGB23	Salmonella enterica subsp. enterica serovar Saintpaul	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	1.3521 N 103.8198 E	Wet market	NA	254041	0.474915	IncFIA(HI1)|IncHI1B(R27)|IncHI1A|IncN	MOBH	48	NA
NZ_CP023175	NZ_CP023175.1	Lactobacillus plantarum strain BDGP2 plasmid pLtBDGP2A, complete sequence	pLtBDGP2A	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA:94710	NA	NA	61448	0.378092	NA	NA	NA	NA
NZ_CP023176	NZ_CP023176.1	Lactobacillus plantarum strain BDGP2 plasmid pLtBDGP2B, complete sequence	pLtBDGP2B	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA:94710	NA	NA	58689	0.424509	NA	NA	NA	NA
NZ_CP023177	NZ_CP023177.1	Lactobacillus plantarum strain BDGP2 plasmid pLtBDGP2C, complete sequence	pLtBDGP2C	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA:94710	NA	NA	41234	0.371902	NA	NA	431	NZ_CP013752_position:32528-33619
NZ_CP023178	NZ_CP023178.1	Lactobacillus plantarum strain BDGP2 plasmid pLtBDGP2D, complete sequence	pLtBDGP2D	Lactobacillus plantarum	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	2015-04-06	USA:94710	NA	NA	13055	0.392187	NA	MOBQ	NA	NA
NZ_CP023180	NZ_CP023180.1	Bacillus cereus strain CC-1 plasmid p1, complete sequence	p1	Bacillus cereus	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2015-04-07	China: Bo Hai, Panjin	marine sediments in Liaodong Bay	NA	13115	0.337324	NA	MOBV|MOBV	NA	NA
NZ_CP023181	NZ_CP023181.1	Bacillus cereus strain CC-1 plasmid p2, complete sequence	p2	Bacillus cereus	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2015-04-07	China: Bo Hai, Panjin	marine sediments in Liaodong Bay	NA	2931	0.336063	NA	MOBV	NA	NA
NZ_CP023182	NZ_CP023182.1	Bacillus cereus strain CC-1 plasmid p3, complete sequence	p3	Bacillus cereus	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2015-04-07	China: Bo Hai, Panjin	marine sediments in Liaodong Bay	NA	5374	0.337923	NA	MOBV	NA	NA
NZ_CP023183	NZ_CP023183.1	Bacillus cereus strain CC-1 plasmid p4, complete sequence	p4	Bacillus cereus	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2015-04-07	China: Bo Hai, Panjin	marine sediments in Liaodong Bay	NA	7375	0.353763	NA	NA	NA	NA
NZ_CP023186	NZ_CP023186.1	Klebsiella michiganensis strain K518 plasmid pK518_KPC, complete sequence	pK518_KPC	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2017-01-13	30.26 N 120.19 E	China: The First Affiliated Hospital of Zhejiang University	NA	126846	0.534664	NA	MOBF	523	NA
NZ_CP023187	NZ_CP023187.1	Klebsiella michiganensis strain K518 plasmid pK518_NDM1, complete sequence	pK518_NDM1	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2017-01-13	30.26 N 120.19 E	China: The First Affiliated Hospital of Zhejiang University	NA	106579	0.555025	IncFII(Yp)	MOBF	325	NA
NZ_CP023188	NZ_CP023188.1	Klebsiella michiganensis strain K518 plasmid pK518_NDM5, complete sequence	pK518_NDM5	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2017-01-13	30.26 N 120.19 E	China: The First Affiliated Hospital of Zhejiang University	NA	46146	0.466519	IncX3	NA	535	NA
NZ_CP023190	NZ_CP023190.1	Acetobacter pomorum strain SH plasmid pSH1, complete sequence	pSH1	Acetobacter pomorum	Acetobacter pomorum	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	2017-03-01	South Korea: Seoul	gut	NA	166956	0.514106	NA	NA	NA	NA
NZ_CP023191	NZ_CP023191.1	Acetobacter pomorum strain SH plasmid pSH2, complete sequence	pSH2	Acetobacter pomorum	Acetobacter pomorum	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	2017-03-01	South Korea: Seoul	gut	NA	16749	0.526419	NA	NA	NA	NA
NZ_CP023210	NZ_CP023210.1	Vibrio anguillarum strain ATCC-68554 plasmid p65, complete sequence	p65	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	1977	USA: Pacific Ocean coast, Washington	U.S. Pacific Ocean coast	NA	65009	0.425741	NA	NA	106	NA
NZ_CP023253	NZ_CP023253.1	Klebsiella pneumoniae strain CCUG 70742 plasmid pKpn70742_4, complete sequence	pKpn70742_4	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012-01-20	57.6823 N 11.9613 E	urine	NA	1907	0.568956	ColpVC	NA	NA	NA
NZ_CP023261	NZ_CP023261.1	Escherichia coli strain CCUG 70745 plasmid pEco70745_3, complete sequence	pEco70745_3	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013-01-09	57.6823 N 11.9613 E	feces	NA	3735	0.428916	NA	NA	NA	NA
NZ_CP023262	NZ_CP023262.1	Escherichia coli strain CCUG 70745 plasmid pEco70745_4, complete sequence	pEco70745_4	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013-01-09	57.6823 N 11.9613 E	feces	NA	2061	0.514799	NA	NA	453	NA
NZ_CP023263	NZ_CP023263.1	Escherichia coli strain CCUG 70745 plasmid pEco70745_5, complete sequence	pEco70745_5	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013-01-09	57.6823 N 11.9613 E	feces	NA	1907	0.568956	ColpVC	NA	NA	NA
NZ_CP023264	NZ_CP023264.1	Escherichia coli strain CCUG 70745 plasmid pEco70745_6, complete sequence	pEco70745_6	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013-01-09	57.6823 N 11.9613 E	feces	NA	1586	0.515763	NA	NA	293	NA
NZ_CP023274	NZ_CP023274.1	Proteus mirabilis strain CCUG 70746 plasmid pPmi70746_1, complete sequence	pPmi70746_1	Proteus mirabilis	Proteus mirabilis	Proteus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2013-01-24	57.6823 N 11.9613 E	feces	NA	191769	0.517727	IncA/C2	MOBH	148	NA
NZ_CP023279	NZ_CP023279.1	Nostoc sp. CENA543 plasmid pCENA543c, complete sequence	pCENA543c	Nostoc sp. CENA543	Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria	03-Sep-2010	Brazil	Brazilian saline-alkaline lake	NA	41078	0.41336	NA	NA	NA	NA
NZ_CP023280	NZ_CP023280.1	Nostoc sp. CENA543 plasmid pCENA543a, complete sequence	pCENA543a	Nostoc sp. CENA543	Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria	03-Sep-2010	Brazil	Brazilian saline-alkaline lake	NA	67080	0.39438	NA	MOBF	NA	NA
NZ_CP023281	NZ_CP023281.1	Nostoc sp. CENA543 plasmid pCENA543e, complete sequence	pCENA543e	Nostoc sp. CENA543	Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria	03-Sep-2010	Brazil	Brazilian saline-alkaline lake	NA	30523	0.424663	NA	NA	NA	NA
NZ_CP023282	NZ_CP023282.1	Nostoc sp. CENA543 plasmid pCENA543b, complete sequence	pCENA543b	Nostoc sp. CENA543	Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria	03-Sep-2010	Brazil	Brazilian saline-alkaline lake	NA	44065	0.40758	NA	MOBF	NA	NA
NZ_CP023283	NZ_CP023283.1	Nostoc sp. CENA543 plasmid pCENA543d, complete sequence	pCENA543d	Nostoc sp. CENA543	Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	NA	Cyanobacteria	Bacteria	03-Sep-2010	Brazil	Brazilian saline-alkaline lake	NA	34165	0.418645	NA	MOBV	NA	NA
NZ_CP023286	NZ_CP023286.1	Xanthomonas citri pv. citri strain 03-1638-1-1 plasmid pCuR, complete sequence	pCuR	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2003	Argentina	NA	NA	249703	0.588083	NA	MOBH	459	NZ_CP018472_position:166215-167342
NZ_CP023287	NZ_CP023287.1	Xanthomonas citri pv. citri strain 03-1638-1-1 plasmid pP2, complete sequence	pP2	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2003	Argentina	NA	NA	99153	0.616008	NA	MOBF	503|504	NA
NZ_CP023312	NZ_CP023312.1	Vibrio anguillarum strain VIB12 plasmid p292, complete sequence	p292	Vibrio anguillarum	Vibrio anguillarum	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	Greece	NA	NA	292095	0.419042	NA	NA	NA	NA
NZ_CP023347	NZ_CP023347.1	Escherichia coli strain ETEC-2265 plasmid unnamed1, complete sequence	unnamed1	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	22-Mar-2006	23.80 N 90.37 E	Diarrheal stool	NA	142368	0.475943	IncFII	NA	NA	NA
NZ_CP023348	NZ_CP023348.1	Escherichia coli strain ETEC-2265 plasmid unnamed2, complete sequence	unnamed2	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	22-Mar-2006	23.80 N 90.37 E	Diarrheal stool	NA	88757	0.517931	IncFII(pCoo)	NA	470	NA
NZ_CP023350	NZ_CP023350.1	Escherichia coli strain ETEC-2264 plasmid unnamed1, complete sequence	unnamed1	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	21-Mar-2006	23.80 N 90.37 E	Diarrheal stool	NA	112045	0.480753	IncI1	MOBF|MOBP|MOBP	NA	NA
NZ_CP023351	NZ_CP023351.1	Escherichia coli strain ETEC-2264 plasmid unnamed2, complete sequence	unnamed2	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	21-Mar-2006	23.80 N 90.37 E	Diarrheal stool	NA	77345	0.518637	IncFII(pCoo)	MOBF	557	NA
NZ_CP023352	NZ_CP023352.1	Escherichia coli strain ETEC-2264 plasmid unnamed3, complete sequence	unnamed3	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	21-Mar-2006	23.80 N 90.37 E	Diarrheal stool	NA	45777	0.499377	IncI1	NA	NA	NA
NZ_CP023354	NZ_CP023354.1	Escherichia coli strain 746 plasmid p62, complete sequence	p62	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2002	United Kingdom: Scotland, Edinburgh	NA	NA	62312	0.519001	IncFII	NA	545	NA
